Time,"job=""promtail"""
2026-03-09 18:34:08,9.817866
2026-03-09 18:34:38,9.923208
2026-03-09 18:35:08,9.871952
2026-03-09 18:35:38,9.226266
2026-03-09 18:36:08,9.861706
2026-03-09 18:36:38,9.746666
2026-03-09 18:37:08,9.746666
2026-03-09 18:37:38,2.528024
2026-03-09 18:38:08,5.687642
2026-03-09 18:38:38,9.7212
2026-03-09 18:39:08,9.713226
2026-03-09 18:39:38,9.89088
2026-03-09 18:40:08,9.62043
2026-03-09 18:40:38,9.62043
2026-03-09 18:41:08,9.62043
2026-03-09 18:41:38,9.62043
2026-03-09 18:42:08,9.62043
2026-03-09 18:42:38,9.32723
2026-03-09 18:43:08,9.854406
2026-03-09 18:43:38,9.712076
2026-03-09 18:44:08,9.744234
2026-03-09 18:44:38,9.821332
2026-03-09 18:45:08,2.456676
2026-03-09 18:45:38,4.223208
2026-03-09 18:46:08,9.840384
2026-03-09 18:46:38,8.885544
2026-03-09 18:47:08,4.249992
2026-03-09 18:47:38,4.249992
2026-03-09 18:48:08,9.880096
2026-03-09 18:48:38,9.712418
2026-03-09 18:49:08,8.988028
2026-03-09 18:49:38,9.063666
2026-03-09 18:50:08,9.531196
2026-03-09 18:50:38,8.73886
2026-03-09 18:51:08,2.337684
2026-03-09 18:51:38,9.679975666666666
2026-03-09 18:52:08,9.82311
2026-03-09 18:52:38,9.347008
2026-03-09 18:53:08,9.25022
2026-03-09 18:53:38,9.25022
2026-03-09 18:54:08,9.747242
2026-03-09 18:54:38,8.670694
2026-03-09 18:55:08,9.760798
2026-03-09 18:55:38,3.0853533333333334
2026-03-09 18:56:08,8.524376
2026-03-09 18:56:38,9.056496
2026-03-09 18:57:08,9.75909
2026-03-09 18:57:38,9.75909
2026-03-09 18:58:08,8.4834
2026-03-09 18:58:38,9.110552
2026-03-09 18:59:08,9.389934
2026-03-09 18:59:38,9.389934
2026-03-09 19:00:08,9.737912
2026-03-09 19:00:38,9.811162
2026-03-09 19:01:08,8.626412
2026-03-09 19:01:38,9.108162
2026-03-09 19:02:08,8.525764
2026-03-09 19:02:38,9.477604
2026-03-09 19:03:08,9.632242
2026-03-09 19:03:38,9.780288
2026-03-09 19:04:08,9.084318
2026-03-09 19:04:38,9.750062
2026-03-09 19:05:08,9.097642
2026-03-09 19:05:38,2.6975266666666666
2026-03-09 19:06:08,1.68622
2026-03-09 19:06:38,5.5017233333333335
2026-03-09 19:07:08,9.120532
2026-03-09 19:07:38,9.534688
2026-03-09 19:08:08,9.190954
2026-03-09 19:08:38,9.080856
2026-03-09 19:09:08,8.835286
2026-03-09 19:09:38,9.755818
2026-03-09 19:10:08,1.301222
2026-03-09 19:10:38,0.93747
2026-03-09 19:11:08,8.99824
2026-03-09 19:11:38,7.962448
2026-03-09 19:12:08,7.575134
2026-03-09 19:12:38,9.53008
2026-03-09 19:13:08,8.261450666666667
2026-03-09 19:13:38,0.338718
2026-03-09 19:14:08,9.277757666666668
2026-03-09 19:14:38,9.74933
2026-03-09 19:15:08,9.75999
2026-03-09 19:15:38,8.725332
2026-03-09 19:16:08,1.291786
2026-03-09 19:16:38,9.745444
2026-03-09 19:17:08,9.688663333333333
2026-03-09 19:17:38,9.730298
2026-03-09 19:18:08,9.395076
2026-03-09 19:18:38,9.379754
2026-03-09 19:19:08,9.707464
2026-03-09 19:19:38,6.889326
2026-03-09 19:20:08,9.1434
2026-03-09 19:20:38,5.498424
2026-03-09 19:21:08,9.789274
2026-03-09 19:21:38,9.789274
2026-03-09 19:22:08,8.772304
2026-03-09 19:22:38,8.995346
2026-03-09 19:23:08,9.83544
2026-03-09 19:23:38,9.242502
2026-03-09 19:24:08,9.339476
2026-03-09 19:24:38,8.68607
2026-03-09 19:25:08,9.800936
2026-03-09 19:25:38,9.756338
2026-03-09 19:26:08,9.22857
2026-03-09 19:26:38,9.62766
2026-03-09 19:27:08,9.512158
2026-03-09 19:27:38,8.52357
2026-03-09 19:28:08,9.59304
2026-03-09 19:28:38,0.063584
2026-03-09 19:29:08,8.697176
2026-03-09 19:29:38,8.697176
2026-03-09 19:30:08,9.704394
2026-03-09 19:30:38,9.467798
2026-03-09 19:31:08,8.86453
2026-03-09 19:31:38,9.489402
2026-03-09 19:32:08,9.546704
2026-03-09 19:32:38,9.480768
2026-03-09 19:33:08,9.26537
2026-03-09 19:33:38,9.26537
2026-03-09 19:34:08,9.700237
