Time,Series_C
2026-03-09 18:34:08,614.8102577075595
2026-03-09 18:34:38,548.9083860917021
2026-03-09 18:35:08,331.5130994853052
2026-03-09 18:35:38,307.7448842042468
2026-03-09 18:36:08,247.31943169089274
2026-03-09 18:36:38,228.81594292271097
2026-03-09 18:37:08,304.572659501696
2026-03-09 18:37:38,170.00701992574196
2026-03-09 18:38:08,285.3395897898154
2026-03-09 18:38:38,240.5315281983655
2026-03-09 18:39:08,222.50728146931834
2026-03-09 18:39:38,187.54571452018615
2026-03-09 18:40:08,189.96225251868793
2026-03-09 18:40:38,148.14133745422578
2026-03-09 18:41:08,112.34380128759283
2026-03-09 18:41:38,120.15960496105194
2026-03-09 18:42:08,97.14661326283927
2026-03-09 18:42:38,97.07815306840698
2026-03-09 18:43:08,134.7808220112353
2026-03-09 18:43:38,99.68350350716021
2026-03-09 18:44:08,143.29462070777615
2026-03-09 18:44:38,121.00457561829761
2026-03-09 18:45:08,146.61425421051268
2026-03-09 18:45:38,84.51186362192378
2026-03-09 18:46:08,119.43888985431057
2026-03-09 18:46:38,86.95203932393224
2026-03-09 18:47:08,96.73479162387798
2026-03-09 18:47:38,225.6778874800956
2026-03-09 18:48:08,215.37717085431214
2026-03-09 18:48:38,148.61211975935362
2026-03-09 18:49:08,323.7006563089461
2026-03-09 18:49:38,346.0481298346384
2026-03-09 18:50:08,204.75519802338243
2026-03-09 18:50:38,129.84090045085225
2026-03-09 18:51:08,118.24910153977012
2026-03-09 18:51:38,254.88175180154076
2026-03-09 18:52:08,196.36637074257087
2026-03-09 18:52:38,198.49229518773927
2026-03-09 18:53:08,181.66863460868467
2026-03-09 18:53:38,186.2245178126106
2026-03-09 18:54:08,208.89423209782424
2026-03-09 18:54:38,149.54269588817726
2026-03-09 18:55:08,152.42032345041318
2026-03-09 18:55:38,167.37621429083242
2026-03-09 18:56:08,190.5488834045373
2026-03-09 18:56:38,206.42786964082836
2026-03-09 18:57:08,207.03402736695372
2026-03-09 18:57:38,150.32871531932136
2026-03-09 18:58:08,119.30379237525062
2026-03-09 18:58:38,208.04632615037679
2026-03-09 18:59:08,229.16695213717207
2026-03-09 18:59:38,426.54562795371385
2026-03-09 19:00:08,256.7536790236134
2026-03-09 19:00:38,200.79509653141878
2026-03-09 19:01:08,202.30090638511894
2026-03-09 19:01:38,227.16770133510568
2026-03-09 19:02:08,150.5636328393461
2026-03-09 19:02:38,139.22418894834556
2026-03-09 19:03:08,134.1875091984643
2026-03-09 19:03:38,134.0288402406264
2026-03-09 19:04:08,137.8619850193952
2026-03-09 19:04:38,109.66989214971522
2026-03-09 19:05:08,144.91257829516323
2026-03-09 19:05:38,156.1761607211721
2026-03-09 19:06:08,211.79249930351912
2026-03-09 19:06:38,191.830850259474
2026-03-09 19:07:08,218.2762181478145
2026-03-09 19:07:38,324.4627725794116
2026-03-09 19:08:08,261.5399307231336
2026-03-09 19:08:38,181.24743789872156
2026-03-09 19:09:08,139.4607509800456
2026-03-09 19:09:38,113.07889844683487
2026-03-09 19:10:08,139.61108118129235
2026-03-09 19:10:38,188.42080447507053
2026-03-09 19:11:08,280.76645618416643
2026-03-09 19:11:38,171.12500171159994
2026-03-09 19:12:08,155.83780273328836
2026-03-09 19:12:38,173.2788140268281
2026-03-09 19:13:08,118.9148619900326
2026-03-09 19:13:38,246.2691723076182
2026-03-09 19:14:08,228.39999105738542
2026-03-09 19:14:38,229.1473920979723
2026-03-09 19:15:08,350.42694184463005
2026-03-09 19:15:38,328.7668297031599
2026-03-09 19:16:08,257.7009238110113
2026-03-09 19:16:38,482.7081644927091
2026-03-09 19:17:08,297.0572140800859
2026-03-09 19:17:38,435.9606653643551
2026-03-09 19:18:08,416.96050413152045
2026-03-09 19:18:38,153.46007064831758
2026-03-09 19:19:08,180.870511428115
2026-03-09 19:19:38,172.68555910465386
2026-03-09 19:20:08,260.3694891939667
2026-03-09 19:20:38,320.42187383719727
2026-03-09 19:21:08,239.599474587323
2026-03-09 19:21:38,289.20959345551336
2026-03-09 19:22:08,250.10793971842898
2026-03-09 19:22:38,288.94041979479306
2026-03-09 19:23:08,403.23111723494014
2026-03-09 19:23:38,377.5687931306187
2026-03-09 19:24:08,331.41212704384856
2026-03-09 19:24:38,167.8905222131476
2026-03-09 19:25:08,148.9403068375647
2026-03-09 19:25:38,182.6547140157839
2026-03-09 19:26:08,126.25564375039158
2026-03-09 19:26:38,169.16799441188053
2026-03-09 19:27:08,130.9281247580194
2026-03-09 19:27:38,191.72216673053742
2026-03-09 19:28:08,200.9173515915136
2026-03-09 19:28:38,138.72548233923564
2026-03-09 19:29:08,187.1186601996281
2026-03-09 19:29:38,250.68823593149108
2026-03-09 19:30:08,367.1240429797343
2026-03-09 19:30:38,164.25277001347104
2026-03-09 19:31:08,198.4931980116105
2026-03-09 19:31:38,379.6456524050623
2026-03-09 19:32:08,311.73477030504273
2026-03-09 19:32:38,155.9789968948936
2026-03-09 19:33:08,57.76385312272606
2026-03-09 19:33:38,55.83102524969349
2026-03-09 19:34:08,80.30868721364402
